Region/Subregion or Country of Birth,2000,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Korea,"864,125","1,023,956","1,042,580","1,030,691","1,004,329","1,100,422","1,082,613","1,084,662","1,070,335","1,079,784","1,060,019","1,041,727"
Afghanistan,"45,195","51,935","61,623","60,718","64,768","54,458","65,560","65,633","67,169","73,386","70,653","94,726"
Bangladesh,"95,294","135,088","143,619","145,479","151,091","153,691","184,469","187,992","203,179","210,190","228,682","234,640"
India,"1,022,552","1,519,157","1,501,782","1,622,522","1,665,219","1,780,322","1,856,777","1,967,998","2,034,677","2,205,912","2,389,639","2,434,524"
Iran,"283,226","326,312","326,205","344,935","362,699","356,756","362,371","378,520","363,972","365,288","394,223","386,073"
Kazakhstan, - , - , - , - ,"25,389","22,401","23,910","24,162","26,334","26,527","29,859","32,017"
Nepal,"11,157", - , - , - ,"45,304","69,458","73,528","85,959","87,456","109,624","120,886","129,450"
Pakistan,"223,477","259,282","286,302","282,483","283,988","299,581","303,915","314,331","342,603","371,359","379,435","382,852"
Sri Lanka,"25,380", - , - , - ,"42,329","43,585","45,762","46,411","51,268","43,071","52,971","55,049"
Uzbekistan,"22,770", - , - , - ,"49,950","44,636","51,421","60,438","48,197","49,181","65,375","62,713"
Cambodia,"136,978","145,215","145,266","145,919","154,545","164,746","160,212","159,666","164,746","163,383","166,268","152,415"
Indonesia,"72,552","90,882","84,079","85,850","84,096","99,768","97,244","86,872","94,600","94,632","90,833","94,453"
Laos,"204,284","192,110","190,605","189,274","191,780","192,302","183,768","198,149","196,154","193,979","197,016","183,894"
Malaysia,"49,459", - , - , - ,"48,459","65,169","58,268","55,067","68,956","70,774","69,308","78,459"
Myanmar,"33,905", - , - , - ,"76,918","82,200","95,726","116,318","116,775","128,071","137,567","142,494"
Philippines,"1,369,070","1,638,413","1,701,126","1,684,802","1,725,894","1,777,588","1,813,597","1,868,316","1,843,989","1,926,292","1,982,369","1,941,665"
Singapore,"20,801", - , - , - ,"28,723","26,946","30,608","31,049","31,293","30,732","36,252","28,940"
Thailand,"169,801","186,526","195,948","199,075","203,384","222,759","239,942","237,050","233,547","252,477","247,205","253,585"
Vietnam,"988,174","1,117,800","1,100,833","1,138,039","1,152,384","1,240,542","1,259,317","1,258,979","1,281,010","1,291,807","1,300,515","1,352,760"
Iraq,"89,892","101,878","102,393","100,966","154,220","159,800","170,366","177,028","200,894","217,257","215,193","221,587"
Israel,"109,719","135,003","134,438","146,179","140,323","127,896","133,400","138,468","127,079","132,730","129,680","142,078"
Jordan,"46,794", - , - , - ,"60,406","63,615","69,062","58,744","65,618","69,719","81,767","81,930"
Kuwait,"21,604", - , - , - ,"21,467","26,318","24,466","27,347","22,731","29,089","31,781","36,659"
Lebanon,"105,910","112,840","124,187","127,737","123,614","121,000","118,395","121,684","124,256","119,490","119,613","128,608"
Saudi Arabia,"21,881", - , - , - ,"43,166","45,016","56,238","69,190","88,894","86,682","96,783","99,849"
Syria,"54,561","64,110","54,728","66,077","60,827","59,554","64,697","74,902","78,934","85,737","82,681","96,694"
Yemen,"18,258", - , - , - ,"38,079","40,276","44,096","41,234","40,548","44,280","44,337","61,680"
Turkey,"78,378","88,826","93,673","105,225","105,350","106,271","96,760","107,948","109,667","109,408","116,336","120,745"
Armenia,"65,280","75,541","75,842","75,726","82,651","89,261","85,150","85,974","79,122","86,337","86,217","90,946"
Eritrea, - , - , - , - ,"23,840","29,681","34,876","29,438","33,930","36,967","39,063","43,010"
Ethiopia,"69,531","126,748","134,547","137,012","148,221","173,592","162,044","200,503","195,805","214,530","228,745","244,924"
Kenya,"41,081","79,111","80,595","83,489","87,267","88,519","102,561","106,727","110,678","121,300","129,905","129,670"
Somalia, - , - , - , - , - , - , - , - , - , - ,"89,153","93,020"
Cameroon,"12,241", - , - , - , - ,"40,649","40,451","36,679","46,556","49,695","51,172","49,430"
Egypt,"113,396","136,931","136,648","129,970","138,194","137,799","147,515","172,783","176,443","172,631","185,872","181,677"
Morocco,"34,703", - , - , - ,"58,283","63,165","62,812","65,247","63,798","74,435","71,654","80,384"
Sudan,"18,137", - , - , - ,"35,821","44,863","41,552","46,312","41,018","33,700","46,037","39,346"
South Africa,"63,558","79,472","78,571","79,585","82,339","77,985","87,699","85,528","95,191","92,218","94,141","104,889"
Cabo Verde,"26,682", - , - , - ,"32,885","33,460","35,836","33,938","30,744","37,145","43,352","44,519"
Ghana,"65,572","103,051","104,842","108,802","108,647","124,696","130,399","129,177","149,377","150,305","155,532","171,428"
Liberia,"40,666","64,100","72,125","65,373","72,111","66,089","72,262","73,131","78,909","82,154","79,497","88,090"
Nigeria,"134,940","197,489","185,787","206,604","209,908","219,309","226,849","238,796","234,465","264,399","323,635","306,874"
