Year,2000,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016
Region/Subregion or Country of Birth,Estimate,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error
Switzerland," 44,445 ", - ,, - ,, - ,," 40,155 "," +/-3,852 "," 40,007 "," +/-3,278 "," 37,516 "," +/-3,899 "," 38,702 "," +/-2,795 "," 41,491 "," +/-3,546 ","41,504","  +/-3,159 ","37,115","+/-3,317","38,144","+/-3,179"
Other Western Europe," 79,771 "," 77,649 "," +/-4,362 "," 77,970 "," +/-5,249 "," 73,967 "," +/-4,489 "," 1,761 ", +/-678 ," 2,720 ", +/-976 ," 2,980 ", +/-970 ," 1,864 ", +/-728 ," 2,730 ", +/-817 ,"1,954",  +/-644 ,"2,527",+/-776,"1,753",+/-784
Southern Europe," 934,665 "," 870,700 "," +/-19,030 "," 863,290 "," +/-17,887 "," 803,806 "," +/-18,713 "," 811,818 "," +/-18,557 "," 779,294 "," +/-15,822 "," 795,215 "," +/-14,584 "," 764,569 "," +/-16,216 "," 783,755 "," +/-15,969 ","775,030","  +/-16,410 ","787,767","+/-16,505","760,352","+/-16,727"
Greece," 165,750 "," 162,203 "," +/-8,006 "," 159,272 "," +/-7,881 "," 148,336 "," +/-8,986 "," 144,173 "," +/-6,875 "," 135,639 "," +/-7,841 "," 138,269 "," +/-8,332 "," 134,956 "," +/-6,364 "," 137,084 "," +/-8,172 ","136,906","  +/-6,852 ","141,325","+/-6,452","135,484","+/-6,952"
Italy," 473,338 "," 419,811 "," +/-10,360 "," 417,511 "," +/-13,080 "," 392,798 "," +/-10,631 "," 375,666 "," +/-11,761 "," 364,972 "," +/-10,044 "," 373,897 "," +/-10,342 "," 354,028 "," +/-10,071 "," 354,305 "," +/-10,091 ","356,831","  +/-10,554 ","352,492","+/-11,766","335,763","+/-10,274"
Portugal," 203,119 "," 192,316 "," +/-11,029 "," 198,119 "," +/-9,269 "," 173,303 "," +/-9,555 "," 203,409 "," +/-9,882 "," 189,333 "," +/-9,105 "," 183,869 "," +/-9,047 "," 179,619 "," +/-8,759 "," 182,473 "," +/-9,120 ","172,922","  +/-9,110 ","176,803","+/-8,390","176,638","+/-7,529"
Spain," 82,858 "," 88,150 "," +/-5,886 "," 79,880 "," +/-4,939 "," 80,858 "," +/-5,413 "," 80,419 "," +/-5,427 "," 83,242 "," +/-5,839 "," 91,285 "," +/-6,846 "," 88,665 "," +/-5,949 "," 102,475 "," +/-5,486 ","103,689","  +/-7,074 ","108,953","+/-6,903","105,975","+/-7,249"
Other Southern Europe," 9,600 "," 8,220 "," +/-1,482 "," 8,508 "," +/-1,795 "," 8,511 "," +/-1,485 "," 8,151 "," +/-1,502 "," 6,108 "," +/-1,462 "," 7,895 "," +/-1,444 "," 7,301 "," +/-1,258 "," 7,418 "," +/-1,560 ","4,682",  +/-914 ,"8,194","+/-2,545","6,492","+/-1,381"
Eastern Europe," 1,906,056 "," 2,144,279 "," +/-32,993 "," 2,166,658 "," +/-30,985 "," 2,187,899 "," +/-30,711 "," 2,132,368 "," +/-34,622 "," 2,143,055 "," +/-32,429 "," 2,171,906 "," +/-38,561 "," 2,146,969 "," +/-28,125 "," 2,096,647 "," +/-32,185 ","2,089,753","  +/-36,539 ","2,097,040","+/-29,599","2,122,951","+/-31,202"
Albania," 39,341 ", - ,, - ,, - ,," 74,191 "," +/-8,486 "," 77,407 "," +/-7,567 "," 86,010 "," +/-8,706 "," 83,746 "," +/-6,304 "," 81,047 "," +/-9,185 ","81,622","  +/-8,152 ","89,744","+/-9,135","93,033","+/-10,800"
